"class","f1","f2","f3","f4","f5","f6","f7","f8","f9","f10","f11","f12","f13"
"i",0.0,1.0,63.07139,1.52321,63.07139,-0.04757,0.99887,63.18373,0.0,0.45008,0.05409,0.56641,188.0
"i",-0.24254,0.97014,76.32169,1.47895,76.32169,-0.09172,0.99579,76.97962,0.7854,2.24304,0.88627,0.55556,297.0
"i",0.0,1.0,64.13267,1.38257,64.13267,0.18711,0.98234,64.57474,0.16515,1.40565,0.4216,1.17778,188.0
"i",-0.44721,0.89443,65.27634,1.47875,65.27634,-0.09192,0.99577,66.18798,0.7854,1.02665,0.37386,0.66406,188.0
"i",0.0,1.0,59.0,1.57075,59.0,0.0,1.0,59.0,0.0,0.0,0.0,0.76563,282.0
"i",0.19612,0.98058,53.00943,1.55193,53.00943,0.01886,0.99982,53.16228,0.0,0.6435,0.20705,0.25,204.0
"i",-0.70711,-0.70711,75.74299,0.83209,46.66905,0.70711,0.70711,118.08713,4.03765,4.96494,2.2784,0.68,438.0
"i",-0.5547,0.83205,125.80143,1.15338,72.69113,0.13757,0.99049,194.36396,3.03094,3.76128,1.83893,2.08203,328.0
"i",0.0,1.0,58.13777,1.50194,58.13777,0.0688,0.99763,58.26954,0.0,0.24871,0.03093,0.28889,203.0
"i",-0.34174,0.93979,134.62912,1.3078,134.62912,-0.25997,0.96562,135.82594,-0.0,1.44502,0.39851,7.01563,172.0
"i",0.0,1.0,63.0,1.57075,63.0,0.0,1.0,63.0,0.0,0.0,0.0,0.5625,281.0
"i",0.0,1.0,60.00833,1.55413,60.00833,-0.01666,0.99986,60.08276,0.0,0.3303,0.05455,0.28444,297.0
"i",0.70711,0.70711,56.00893,1.55294,56.00893,0.01785,0.99984,57.0,0.0,0.0,0.0,1.26563,235.0
"i",0.0,1.0,92.19544,1.50567,92.19544,-0.06508,0.99788,92.45742,0.0,0.67859,0.09939,1.30222,203.0
"i",0.0,1.0,58.21512,1.4848,58.21512,-0.08589,0.9963,59.42799,-0.0,1.04441,0.22642,0.44444,297.0
